Player Name,Team_x,Player Type,Runs,FBalls,Dismissals,StrikeRate,Economy,Runs Conceded,Balls Bowled,Wickets,Catches,Stumpings,RunOuts,Extras,Fours,Sixes,Overs,Maidens,Score
Glenn Maxwell,AUS,ALL,4.91907514450867,10.216763005780347,0.36416184971098264,17.98751350801194,2.0826309226718416,11.309248554913294,12.393063583815028,0.25722543352601157,0.28034682080924855,0.0,0.04046242774566474,0.4508670520231214,1.1849710982658959,0.4479768786127168,2.0260115606936417,0.02023121387283237,14.416184971098266
Glenn Phillips,NZ,ALL,5.416666666666667,11.902777777777779,0.3333333333333333,17.30481514771002,1.9146056189884508,7.763888888888889,7.847222222222222,0.19444444444444445,0.2638888888888889,0.0,0.027777777777777776,0.19444444444444445,0.8472222222222222,0.4861111111111111,1.2916666666666667,0.0,11.944444444444445
Hardik Pandya,IND,ALL,4.895348837209302,9.633720930232558,0.3081395348837209,17.274499543241795,2.739518684929712,17.71511627906977,19.377906976744185,0.4941860465116279,0.1686046511627907,0.0,0.005813953488372093,1.122093023255814,0.7790697674418605,0.4069767441860465,3.104651162790698,0.011627906976744186,19.24418604651163
Haris Rauf,PAK,BOWL,0.24242424242424243,1.4090909090909092,0.13636363636363635,3.668726603509212,3.666621365567476,31.151515151515152,32.59090909090909,1.2121212121212122,0.15151515151515152,0.0,0.015151515151515152,1.803030303030303,0.09090909090909091,0.07575757575757576,5.257575757575758,0.07575757575757576,33.65151515151515
Harry Brook,ENG,BAT,10.523809523809524,25.142857142857142,0.7380952380952381,29.95554529015789,0.1507936507936508,0.4523809523809524,0.42857142857142855,0.0,0.16666666666666666,0.0,0.0,0.0,2.5238095238095237,0.7142857142857143,0.07142857142857142,0.0,12.142857142857142
Harshit Rana,IND,BOWL,0.6,2.0,0.2,6.0,4.046350873432644,29.4,26.0,1.4,0.0,0.0,0.2,1.0,0.2,0.2,4.2,0.4,37.4
Heinrich Klaasen,SA,WK,10.0,20.170454545454547,0.5227272727272727,27.466293619218426,0.15151515151515152,0.375,0.3409090909090909,0.0,0.5454545454545454,0.06818181818181818,0.03409090909090909,0.0,2.1363636363636362,0.8181818181818182,0.056818181818181816,0.0,16.170454545454547
Jacob Duffy,NZ,BOWL,0.06666666666666667,1.1333333333333333,0.06666666666666667,1.6666666666666667,3.9936301296474874,31.533333333333335,31.4,1.2666666666666666,0.0,0.0,0.06666666666666667,1.9333333333333333,0.13333333333333333,0.0,5.066666666666666,0.6666666666666666,36.2
Jake Fraser-McGurk,AUS,BAT,2.3333333333333335,7.555555555555555,0.6666666666666666,17.351290684624015,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,1.2222222222222223,0.4444444444444444,0.0,0.0,5.0
Jamie Overton,ENG,ALL,2.450980392156863,4.745098039215686,0.3333333333333333,16.809609808835816,2.6171029861675223,18.137254901960784,17.313725490196077,0.5882352941176471,0.23529411764705882,0.0,0.0,1.3137254901960784,0.47058823529411764,0.2549019607843137,2.784313725490196,0.0,19.333333333333332
