Credits,Player Type,Player Name,Team_x,MatchID,Stadium,Runs,Balls,Dismissals,StrikeRate,Economy,Runs Conceded,Balls Bowled,Wickets,Catches,Stumpings,RunOuts,Extras
9.0,BOWL,Adam Zampa,AUS,4152.0,Trent Bridge,0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,4155.0,Kennington Oval,1,3,1,33.33333333333333,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4155.0,Kennington Oval,0,0,0,0.0,8.333333333333332,50,36,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4166.0,Trent Bridge,0,0,0,0.0,7.418181818181818,68,55,1,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4116.0,Sharjah Cricket Stadium,0,0,0,0.0,4.5,45,60,0,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4117.0,Sharjah Cricket Stadium,0,0,0,0.0,5.699999999999999,57,60,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4118.0,Sheikh Zayed Stadium,0,0,0,0.0,4.448275862068966,43,58,4,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4119.0,Dubai International Cricket Stadium,0,0,0,0.0,4.9,49,60,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4120.0,Dubai International Cricket Stadium,0,0,0,0.0,7.157894736842104,68,57,1,0,0,0,4
9.0,BOWL,Adam Zampa,AUS,4113.0,Arun Jaitley Stadium,0,0,0,0.0,4.7,47,60,3,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4106.0,"Vidarbha Cricket Association Stadium, Jamtha",2,2,1,100.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4106.0,"Vidarbha Cricket Association Stadium, Jamtha",0,0,0,0.0,6.4,64,60,3,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,4106.0,"Vidarbha Cricket Association Stadium, Jamtha",0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,4109.0,JSCA International Stadium Complex,0,0,0,0.0,7.161290322580646,74,62,3,0,0,0,6
9.0,BOWL,Adam Zampa,AUS,4231.0,Wankhede Stadium,0,0,0,0.0,5.213114754098361,53,61,1,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4232.0,Saurashtra Cricket Association Stadium,6,6,1,100.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4232.0,Saurashtra Cricket Association Stadium,0,0,0,0.0,4.918032786885246,50,61,3,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4233.0,M.Chinnaswamy Stadium,1,6,1,16.666666666666664,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4233.0,M.Chinnaswamy Stadium,0,0,0,0.0,4.4,44,60,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4248.0,Boland Park,7,5,0,140.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4248.0,Boland Park,0,0,0,0.0,5.2,52,60,0,0,0,0,4
9.0,BOWL,Adam Zampa,AUS,4252.0,Mangaung Oval,3,3,0,100.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4252.0,Mangaung Oval,0,0,0,0.0,4.721311475409836,48,61,2,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4254.0,Senwes Park,0,0,0,0.0,4.5,45,60,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4255.0,Sydney Cricket Ground,0,0,0,0.0,6.244897959183674,51,49,2,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,4079.0,Melbourne Cricket Ground,8,14,1,57.14285714285714,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4079.0,Melbourne Cricket Ground,0,0,0,0.0,3.4,34,60,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4102.0,"Rajiv Gandhi International Stadium, Uppal",0,0,0,0.0,4.819672131147541,49,61,2,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4067.0,Adelaide Oval,22,24,1,91.66666666666666,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4067.0,Adelaide Oval,0,0,0,0.0,6.333333333333334,57,54,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4067.0,Adelaide Oval,0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,4069.0,Bellerive Oval,0,3,1,0.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4069.0,Bellerive Oval,0,0,0,0.0,5.333333333333333,32,36,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3951.0,Melbourne Cricket Ground,0,0,0,0.0,7.081967213114754,72,61,0,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3960.0,Sydney Cricket Ground,0,0,0,0.0,6.111111111111112,55,54,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3960.0,Sydney Cricket Ground,0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,3966.0,Adelaide Oval,0,0,0,0.0,5.8604651162790695,42,43,0,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3968.0,Perth Stadium,11,17,1,64.70588235294117,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3968.0,Perth Stadium,0,0,0,0.0,4.524590163934426,46,61,1,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3910.0,"MA Chidambaram Stadium, Chepauk",5,4,0,125.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3910.0,"MA Chidambaram Stadium, Chepauk",0,0,0,0.0,6.6000000000000005,66,60,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3917.0,M.Chinnaswamy Stadium,0,0,0,0.0,7.111111111111111,64,54,1,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3919.0,"Vidarbha Cricket Association Stadium, Jamtha",0,0,0,0.0,7.375,59,48,2,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4259.0,Old Trafford,5,9,1,55.55555555555556,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4259.0,Old Trafford,0,0,0,0.0,5.901639344262295,60,61,4,0,0,0,6
9.0,BOWL,Adam Zampa,AUS,4260.0,Old Trafford,2,19,1,10.526315789473683,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4260.0,Old Trafford,0,0,0,0.0,3.6,36,60,3,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4261.0,Old Trafford,0,0,0,0.0,5.1,51,60,3,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4266.0,Sydney Cricket Ground,0,0,0,0.0,6.0983606557377055,62,61,2,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4267.0,Manuka Oval,4,7,1,57.14285714285714,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4267.0,Manuka Oval,0,0,0,0.0,4.5,45,60,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4310.0,"Kensington Oval, Bridgetown, Barbados",12,7,0,171.42857142857142,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4310.0,"Kensington Oval, Bridgetown, Barbados",0,0,0,0.0,11.7,39,20,1,0,0,0,0
