Credits,Player Type,Player Name,Team_x,Unnamed: 0,MatchID,Stadium,Runs,FBalls,Dismissals,StrikeRate,Economy,Runs Conceded,Balls Bowled,Wickets,Catches,Stumpings,RunOuts,Extras,Fours,Sixes,Overs,Maidens,Score
9.0,BOWL,Adam Zampa,AUS,15611,4113.0,Arun Jaitley Stadium,0,0,0,0.0,4.7,47,60,3,0,0,0,1,0,0,10,0,82
9.0,BOWL,Adam Zampa,AUS,16288,4116.0,Sharjah Cricket Stadium,0,0,0,0.0,4.5,45,60,0,0,0,0,1,0,0,10,0,3
9.0,BOWL,Adam Zampa,AUS,16317,4117.0,Sharjah Cricket Stadium,0,0,0,0.0,5.699999999999999,57,60,1,0,0,0,0,0,0,10,0,26
9.0,BOWL,Adam Zampa,AUS,16361,4118.0,Sheikh Zayed Stadium,0,0,0,0.0,4.448275862068966,43,58,4,0,0,0,0,0,0,9,0,115
9.0,BOWL,Adam Zampa,AUS,16396,4119.0,Dubai International Cricket Stadium,0,0,0,0.0,4.9,49,60,1,0,0,0,0,0,0,10,0,28
9.0,BOWL,Adam Zampa,AUS,16434,4120.0,Dubai International Cricket Stadium,0,0,0,0.0,7.157894736842104,68,57,1,0,0,0,4,0,0,9,0,22
9.0,BOWL,Adam Zampa,AUS,16964,4255.0,Sydney Cricket Ground,0,0,0,0.0,6.244897959183674,51,49,2,0,0,0,2,0,0,8,0,49
9.0,BOWL,Adam Zampa,AUS,17072,4248.0,Boland Park,3,5,0,60.0,0.0,0,0,0,0,0,0,0,1,0,0,0,4
9.0,BOWL,Adam Zampa,AUS,17079,4248.0,Boland Park,0,0,0,0.0,5.2,52,60,0,0,0,0,4,0,0,10,0,1
9.0,BOWL,Adam Zampa,AUS,17100,4252.0,Mangaung Oval,3,3,0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
9.0,BOWL,Adam Zampa,AUS,17116,4252.0,Mangaung Oval,0,0,0,0.0,4.721311475409836,48,61,2,0,0,0,1,0,0,10,0,53
9.0,BOWL,Adam Zampa,AUS,17150,4254.0,Senwes Park,0,0,0,0.0,4.5,45,60,1,0,0,0,0,0,0,10,0,28
9.0,BOWL,Adam Zampa,AUS,17275,4231.0,Wankhede Stadium,0,0,0,0.0,5.213114754098361,53,61,1,0,0,0,1,0,0,10,0,26
9.0,BOWL,Adam Zampa,AUS,17305,4232.0,Saurashtra Cricket Association Stadium,2,6,1,33.33333333333333,0.0,0,0,0,0,0,0,0,1,0,0,0,3
9.0,BOWL,Adam Zampa,AUS,17309,4232.0,Saurashtra Cricket Association Stadium,0,0,0,0.0,4.918032786885246,50,61,3,0,0,0,1,0,0,10,0,82
9.0,BOWL,Adam Zampa,AUS,17332,4233.0,M.Chinnaswamy Stadium,1,6,1,16.666666666666664,0.0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,17348,4233.0,M.Chinnaswamy Stadium,0,0,0,0.0,4.4,44,60,1,0,0,0,0,0,0,10,0,28
9.0,BOWL,Adam Zampa,AUS,18065,4259.0,Old Trafford,5,9,1,55.55555555555556,0.0,0,0,0,0,0,0,0,0,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,18084,4259.0,Old Trafford,0,0,0,0.0,5.901639344262295,60,61,4,0,0,0,6,0,0,10,0,113
9.0,BOWL,Adam Zampa,AUS,18116,4260.0,Old Trafford,2,19,1,10.526315789473683,0.0,0,0,0,0,0,0,0,0,0,0,0,-4
9.0,BOWL,Adam Zampa,AUS,18123,4260.0,Old Trafford,0,0,0,0.0,3.6,36,60,3,0,0,0,0,0,0,10,0,82
9.0,BOWL,Adam Zampa,AUS,18154,4261.0,Old Trafford,0,0,0,0.0,5.1,51,60,3,0,0,0,0,0,0,10,0,80
9.0,BOWL,Adam Zampa,AUS,19966,4265.0,Sydney Cricket Ground,0,0,0,0.0,5.409836065573771,55,61,4,0,0,0,2,0,0,10,0,113
9.0,BOWL,Adam Zampa,AUS,20004,4266.0,Sydney Cricket Ground,0,0,0,0.0,6.0983606557377055,62,61,2,0,0,0,1,0,0,10,0,49
9.0,BOWL,Adam Zampa,AUS,20033,4267.0,Manuka Oval,4,7,1,57.14285714285714,0.0,0,0,0,0,0,0,0,0,0,0,0,4
9.0,BOWL,Adam Zampa,AUS,20039,4267.0,Manuka Oval,0,0,0,0.0,4.5,45,60,1,0,0,0,0,0,0,10,0,28
9.0,BOWL,Adam Zampa,AUS,23461,4310.0,"Kensington Oval, Bridgetown, Barbados",4,7,0,57.14285714285714,0.0,0,0,0,0,0,0,0,2,0,0,0,6
9.0,BOWL,Adam Zampa,AUS,23483,4310.0,"Kensington Oval, Bridgetown, Barbados",0,0,0,0.0,11.7,39,20,1,0,0,0,0,0,0,3,0,16
9.0,BOWL,Adam Zampa,AUS,23493,4310.0,"Kensington Oval, Bridgetown, Barbados",0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,23504,4311.0,"Kensington Oval, Bridgetown, Barbados",20,63,1,31.746031746031743,0.0,0,0,0,0,0,0,0,4,0,0,0,18
9.0,BOWL,Adam Zampa,AUS,23523,4311.0,"Kensington Oval, Bridgetown, Barbados",0,0,0,0.0,4.777777777777778,43,54,2,0,0,0,0,0,0,9,0,53
9.0,BOWL,Adam Zampa,AUS,23551,4313.0,"Kensington Oval, Bridgetown, Barbados",0,0,0,0.0,3.344262295081967,34,61,2,0,0,0,6,0,0,10,0,53
9.0,BOWL,Adam Zampa,AUS,26316,4379.0,"Gaddafi Stadium, Lahore",0,0,0,0.0,3.67741935483871,38,62,4,0,0,0,2,0,0,10,0,115
9.0,BOWL,Adam Zampa,AUS,26339,4380.0,"Gaddafi Stadium, Lahore",0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3
